0,0,25,100
0,1,26,100
0,2,27,100
0,3,28,100
0,4,29,100
0,5,30,100
0,6,31,100
0,7,32,100
0,8,33,100
0,9,34,100
0,10,35,100
0,11,36,100
0,12,37,100
0,13,38,100
0,14,39,100
0,15,40,100
0,16,41,100
0,17,42,100
0,18,43,100
0,19,44,100
0,20,45,100
0,21,46,100
0,22,47,100
0,23,48,100
0,24,49,100
0,25,50,100
0,26,51,100
0,27,52,100
0,28,53,100
0,29,54,100
0,30,55,100
0,31,56,100
0,32,57,100
0,33,58,100
0,34,59,100
0,35,60,100
0,36,61,100
0,37,62,100
0,38,63,100
0,39,64,100
0,40,65,100
0,41,66,100
0,42,67,100
0,43,68,100
0,44,69,100
0,45,70,100
0,46,71,100
0,47,72,100
0,48,73,100
0,49,74,100
0,50,75,100
0,51,76,100
0,52,77,100
0,53,78,100
0,54,79,100
0,55,80,100
0,56,81,100
0,57,82,100
0,58,83,100
0,59,84,100
0,60,85,100
0,61,86,100
0,62,87,100
0,63,88,100
0,64,89,100
0,65,90,100
0,66,90,101
0,67,91,101
0,68,92,101
0,69,93,101
0,70,94,101
0,71,95,101
0,72,96,101
0,73,97,101
0,74,98,101
0,75,99,101
0,76,100,101
0,77,100,100
0,78,101,100
0,79,102,100
0,80,103,100
0,81,104,100
0,82,105,100
0,83,106,100
0,84,107,100
0,85,108,100
0,86,109,100
0,87,110,100
0,88,111,100
0,89,112,100
0,90,113,100
0,91,114,100
0,92,115,100
0,93,116,100
0,94,117,100
0,95,118,100
0,96,119,100
0,97,120,100
0,98,121,100
0,99,122,100
0,100,123,100
0,101,124,100
0,102,125,100
0,103,126,100
0,104,127,100
0,105,128,100
0,106,129,100
0,107,130,100
0,108,131,100
0,109,132,100
0,110,133,100
0,111,134,100
0,112,135,100
0,113,136,100
0,114,137,100
0,115,138,100
0,116,139,100
0,117,140,100
0,118,141,100
0,119,142,100
0,120,143,100
0,121,144,100
0,122,145,100
0,123,146,100
0,124,147,100
0,125,148,100
0,126,149,100
0,127,150,100
0,128,151,100
0,129,152,100
0,130,153,100
0,131,154,100
0,132,155,100
0,133,156,100
0,134,157,100
0,135,158,100
0,136,159,100
0,137,160,100
0,138,161,100
0,139,162,100
0,140,163,100
0,141,164,100
0,142,165,100
0,143,166,100
0,144,167,100
0,145,168,100
0,146,169,100
0,147,170,100
0,148,171,100
0,149,172,100
0,150,173,100
0,151,174,100
0,152,175,100
1,0,175,100
1,1,174,100
1,2,173,100
1,3,172,100
1,4,171,100
1,5,170,100
1,6,169,100
1,7,168,100
1,8,167,100
1,9,166,100
1,10,165,100
1,11,164,100
1,12,163,100
1,13,162,100
1,14,161,100
1,15,160,100
1,16,159,100
1,17,158,100
1,18,157,100
1,19,156,100
1,20,155,100
1,21,154,100
1,22,153,100
1,23,152,100
1,24,151,100
1,25,150,100
1,26,149,100
1,27,148,100
1,28,147,100
1,29,146,100
1,30,145,100
1,31,144,100
1,32,143,100
1,33,142,100
1,34,141,100
1,35,140,100
1,36,139,100
1,37,138,100
1,38,137,100
1,39,136,100
1,40,135,100
1,41,134,100
1,42,133,100
1,43,132,100
1,44,131,100
1,45,130,100
1,46,129,100
1,47,128,100
1,48,127,100
1,49,126,100
1,50,125,100
1,51,124,100
1,52,123,100
1,53,122,100
1,54,121,100
1,55,120,100
1,56,119,100
1,57,118,100
1,58,117,100
1,59,116,100
1,60,115,100
1,61,114,100
1,62,113,100
1,63,112,100
1,64,111,100
1,65,110,100
1,66,109,100
1,67,108,100
1,68,107,100
1,69,106,100
1,70,105,100
1,71,104,100
1,72,103,100
1,73,102,100
1,74,101,100
1,75,100,100
1,76,99,100
1,77,98,100
1,78,97,100
1,79,96,100
1,80,95,100
1,81,94,100
1,82,93,100
1,83,92,100
1,84,91,100
1,85,90,100
1,86,89,100
1,87,88,100
1,88,87,100
1,89,86,100
1,90,85,100
1,91,84,100
1,92,83,100
1,93,82,100
1,94,81,100
1,95,80,100
1,96,79,100
1,97,78,100
1,98,77,100
1,99,76,100
1,100,75,100
1,101,74,100
1,102,73,100
1,103,72,100
1,104,71,100
1,105,70,100
1,106,69,100
1,107,68,100
1,108,67,100
1,109,66,100
1,110,65,100
1,111,64,100
1,112,63,100
1,113,62,100
1,114,61,100
1,115,60,100
1,116,59,100
1,117,58,100
1,118,57,100
1,119,56,100
1,120,55,100
1,121,54,100
1,122,53,100
1,123,52,100
1,124,51,100
1,125,50,100
1,126,49,100
1,127,48,100
1,128,47,100
1,129,46,100
1,130,45,100
1,131,44,100
1,132,43,100
1,133,42,100
1,134,41,100
1,135,40,100
1,136,39,100
1,137,38,100
1,138,37,100
1,139,36,100
1,140,35,100
1,141,34,100
1,142,33,100
1,143,32,100
1,144,31,100
1,145,30,100
1,146,29,100
1,147,28,100
1,148,27,100
1,149,26,100
1,150,25,100
